build,floor,area,hour,full,label
Building 2 South,Floor 01,Area D Exterior,6,B2 F01 AH 9200 - S FL 01 Area D Ext Int Layou,Int Layou
Building 2 South,Floor 01,Area D Exterior,98,B2 F01 AH 9201 - S FL 01 Area D Ext Int Frame,Int Frame
Building 2 South,Floor 01,Area D Exterior,29,B2 F01 AH 9202 - S FL 01 Area D Ext Int Top T,Int Top T
Building 2 South,Floor 01,Area D Exterior,12,B2 F01 AH 9206 - S FL 01 Area D Ext Int Backi,Int Backi
Building 2 South,Floor 01,Area D Exterior,127,B2 F01 AH 9250 - S FL 01 Area D Ext Drywall H,Drywall H
Building 2 South,Floor 01,Area D Exterior,29,B2 F01 AH 9265 - S FL 01 Area D Ext Ext Firet,Ext Firet
Building 2 South,Floor 01,Area D Exterior,11,B2 F01 AH 9270 - S FL 01 Area D Ext Firetape ,Firetape
Building 2 South,Floor 01,Area D Exterior,150,B2 F01 AH 9280 - S FL 01 Area D Ext Tape Wall,Tape Wall
Building 2 South,Floor 02,Area C,22,B2 F02 AC 5400 - S FL 02 Area C Int Ext Frame,Ext Frame
Building 2 South,Floor 02,Area C,96,B2 F02 AC 7200 - S FL 02 Area C Int Int Insul,Int Insul
Building 2 South,Floor 02,Area C,25,B2 F02 AC 9200 - S FL 02 Area C Int Int Layou,Int Layou
Building 2 South,Floor 02,Area C,173,B2 F02 AC 9201 - S FL 02 Area C Int Int Frame,Int Frame
Building 2 South,Floor 02,Area C,71,B2 F02 AC 9202 - S FL 02 Area C Int Int Top T,Int Top T
Building 2 South,Floor 02,Area C,32,B2 F02 AC 9203 - S FL 02 Area C Int Int Shaft,Int Shaft
Building 2 South,Floor 02,Area C,50,B2 F02 AC 9206 - S FL 02 Area C Int Int Backi,Int Backi
Building 2 South,Floor 02,Area C,553,B2 F02 AC 9250 - S FL 02 Area C Int Drywall H,Drywall H
Building 2 South,Floor 02,Area C,171,B2 F02 AC 9270 - S FL 02 Area C Int Firetape ,Firetape
Building 2 South,Floor 02,Area C,277,B2 F02 AC 9280 - S FL 02 Area C Int Tape Wall,Tape Wall
Building 2 South,Floor 02,Area C Exterior,5,B2 F02 AG 5390 - S FL 02 Area C Ext Ext ,Ext
Building 2 South,Floor 02,Area C Exterior,57,B2 F02 AG 5400 - S FL 02 Area C Ext Ext Frame,Ext Frame
Building 2 South,Floor 02,Area C Exterior,39,B2 F02 AG 5450 - S FL 02 Area C Ext Sheathing,Sheathing
Building 2 South,Floor 02,Area C Exterior,31,B2 F02 AG 7100 - S FL 02 Area C Ext Ext Insul,Ext Insul
Building 2 South,Floor 02,Area C Exterior,51,B2 F02 AG 9250 - S FL 02 Area C Ext Drywall H,Drywall H
Building 2 South,Floor 02,Area C Exterior,39,B2 F02 AG 9265 - S FL 02 Area C Ext Ext Firet,Ext Firet
Building 2 South,Floor 02,Area C Exterior,14,B2 F02 AG 9270 - S FL 02 Area C Ext Firetape ,Firetape
Building 2 South,Floor 02,Area C Exterior,32,B2 F02 AG 9280 - S FL 02 Area C Ext Tape Wall,Tape Wall
Building 2 South,Floor 02,Area D,7,B2 F02 AD 5400 - S FL 02 Area D Int Ext Frame,Ext Frame
Building 2 South,Floor 02,Area D,88,B2 F02 AD 7200 - S FL 02 Area D Int Int Insul,Int Insul
Building 2 South,Floor 02,Area D,21,B2 F02 AD 9200 - S FL 02 Area D Int Int Layou,Int Layou
Building 2 South,Floor 02,Area D,189,B2 F02 AD 9201 - S FL 02 Area D Int Int Frame,Int Frame
Building 2 South,Floor 02,Area D,59,B2 F02 AD 9202 - S FL 02 Area D Int Int Top T,Int Top T
Building 2 South,Floor 02,Area D,18,B2 F02 AD 9203 - S FL 02 Area D Int Int Shaft,Int Shaft
Building 2 South,Floor 02,Area D,41,B2 F02 AD 9206 - S FL 02 Area D Int Int Backi,Int Backi
Building 2 South,Floor 02,Area D,552,B2 F02 AD 9250 - S FL 02 Area D Int Drywall H,Drywall H
Building 2 South,Floor 02,Area D,94,B2 F02 AD 9270 - S FL 02 Area D Int Firetape ,Firetape
Building 2 South,Floor 02,Area D,356,B2 F02 AD 9280 - S FL 02 Area D Int Tape Wall,Tape Wall
Building 2 South,Floor 02,Area D Exterior,6,B2 F02 AH 5390 - S FL 02 Area D Ext Ext ,Ext
